id,lock_version,json_schema_version,repo_id,suppressed,"identifier","title","display_string",publish,"content_description","condition_description","disposition","inventory","provenance","general_note",resource_type_id,acquisition_type_id,"accession_date",restrictions_apply,"retention_rule",access_restrictions,"access_restrictions_note",use_restrictions,"use_restrictions_note","created_by","last_modified_by","create_time","system_mtime","user_mtime"
39,4,1,2,0,"[\"mtc\",null,null,null]","multiple top containers","multiple top containers",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-15",0,NULL,0,"note",0,NULL,"admin","admin","2016-11-15 13:31:13","2017-07-13 22:14:21","2016-11-15 13:34:13"
40,9,1,2,0,"[\"2016-testWYSSEN\",null,null,null]","Sally Forth papers","Sally Forth papers",1,"Published and unpublished compositions and correspondence, chiefly with publishers and fans. Also includes cassette tapes of interviews and some published clippings.",NULL,NULL,NULL,"Purchased from Glenn Horowitz, 2016 September 12",NULL,250,246,"2016-10-19",0,NULL,0,NULL,0,"Open for research.","admin","admin","2016-11-16 16:09:04","2017-07-13 22:14:21","2016-11-16 16:34:41"
41,8,1,2,0,"[\"2016MT-testIrina\",null,null,null]","Julia Sedova papers","Julia Sedova papers",0,"Collection includes correspondence, compositions, printed material, and casette tapes",NULL,NULL,NULL,"Purchased from Glenn Horowitz",NULL,248,246,"2016-09-19",0,NULL,0,"Collection open for research",0,NULL,"admin","admin","2016-11-16 16:09:07","2017-07-13 22:14:21","2016-11-16 16:14:45"
42,1,1,2,0,"[\"2016-test675\",null,null,null]","Ken Kesey papers","Ken Kesey papers",0,"Contains Ken Kesey's correspondence and compositions as well as printed ephemera and some audiocassettes. The materials range in date from 1945-1990. ",NULL,NULL,NULL,"Purchased from Glenn Horowitz on September 12, 2016. ",NULL,250,246,"2016-10-19",0,NULL,0,NULL,0,NULL,"admin","admin","2016-11-16 16:10:01","2017-07-13 22:14:21","2016-11-16 16:13:04"
43,4,1,2,0,"[\"2016\",\"test\",\"Noah\",\"Sheola\"]","Naomi Novik papers","Naomi Novik papers",0,"Five cartons of material consisting of correspondence, compositions, with some printed material and a few cassette tapes.",NULL,NULL,NULL,"Purchased from Glenn Horowitz, September 12, 2016.",NULL,250,246,"2016-10-19",0,NULL,0,NULL,0,NULL,"admin","admin","2016-11-16 16:12:21","2017-07-13 22:14:21","2017-05-01 15:53:23"
44,1,1,2,0,"[\"2016-MTest\",null,null,null]","Kathleen Hanna, 1968-. Correspondence","Kathleen Hanna, 1968-. Correspondence",0,"Collection includes correspondence and compositions with and by Kathleen Hanna. Also includes printed material including newspaper clippings.","Good",NULL,NULL,"Bequest of Glenn Horowitz",NULL,248,245,"2016-10-19",0,NULL,0,"No restrictions",0,NULL,"admin","admin","2016-11-16 16:14:44","2017-07-13 22:14:21","2016-11-16 16:34:34"
45,10,1,2,0,"[\"2016-testAustin\",null,null,null]","Philip K. Dick papers","Philip K. Dick papers",0,"5 record cartons of compositions and correspondence. Includes print material and audiocassette tapes.",NULL,NULL,NULL,"Purchased from Glenn Horowitiz, September 12, 2016.",NULL,250,246,"2016-10-19",0,NULL,0,NULL,0,NULL,"admin","admin","2016-11-16 16:17:19","2017-07-13 22:14:21","2017-05-01 14:48:57"
46,9,1,2,0,"[\"2016-test321\",null,null,null]","Beatrix Potter collection","Beatrix Potter collection",0,"5 carton of materials containing correspondence, compositions, printed materials, and cassette tapes",NULL,NULL,NULL,"Purchase; Glenn Horowitz; 2016 September 12",NULL,248,246,"2016-10-19",0,NULL,0,NULL,0,NULL,"admin","admin","2016-11-16 16:17:25","2017-07-13 22:14:21","2016-11-17 15:51:21"
47,1,1,2,0,"[\"MS Am Lyons\",null,null,null]","Kathleen Hanna, 1968-. Correspondence","Kathleen Hanna, 1968-. Correspondence",0,"Collection includes correspondence and compositions with and by Kathleen Hanna. Also includes printed material including newspaper clippings.","Good",NULL,NULL,"Bequest of Glenn Horowitz","Collection includes correspondence and compositions with and by Kathleen Hanna. Also includes printed material including newspaper clippings.",248,245,"2016-10-19",0,NULL,0,"No restrictions",0,NULL,"admin","admin","2016-11-16 16:37:52","2017-07-13 22:14:21","2016-11-16 16:38:21"
48,7,1,2,0,"[\"1989MT\",null,null,null]","Kathleen Hanna, 1968-. Correspondence","Kathleen Hanna, 1968-. Correspondence",0,"Collection includes correspondence and compositions with and by Kathleen Hanna. Also includes printed material including newspaper clippings.","Good",NULL,NULL,"Bequest of Glenn Horowitz","Collection includes correspondence and compositions with and by Kathleen Hanna. Also includes printed material including newspaper clippings.",248,245,"2016-10-19",0,NULL,0,"No restrictions",0,NULL,"admin","eckardm","2016-11-16 16:41:57","2017-07-13 22:14:21","2017-03-22 16:14:59"
49,1,1,2,0,"[\"2017\",\"abc\",\"123\",null]","Testy McTesterson papers","Testy McTesterson papers",1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-11-22",0,NULL,0,NULL,0,NULL,"testymctesterson","testymctesterson","2016-11-22 15:57:55","2017-07-13 22:14:21","2016-11-22 15:59:29"
50,1,1,2,0,"[\"2016-11\",\"3\",\"UAR\",null]","Papers of James Gunn","Papers of James Gunn",1,"Ten boxes containing syllabus for classes, lecture notes and personal research for his manuscripts. ","Rolled materials should be flattened before processing",NULL,"Box 1-3 -- Class materials and student papers
Box 4-5 -- Lecture notes
Box 6-8 -- Research notes
Box 9-10 -- AV","Gift of James Gunn.  Received by: B. Schulte","AV materials may duplicate Gunn materials on Deposit",NULL,245,"2016-11-23",0,NULL,0,NULL,1,"Check with curator before viewing VHS","admin","admin","2016-11-26 20:15:59","2017-07-13 22:14:21","2016-11-26 20:15:59"
51,0,1,3,0,"[\"1\",null,null,null]","title","title",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-01-20",0,NULL,0,NULL,0,NULL,"admin","admin","2017-01-20 17:54:36","2017-07-13 22:14:21","2017-01-20 17:54:36"
52,0,1,2,0,"[\"A2014\",\"12\",\"290\",null]","Monty Python papers","Monty Python papers",0,"Papers documenting Monty Python and the Quest for the Holy Grail.","Good",NULL,NULL,"Donated by Monty Python; April 2016",NULL,250,245,"2017-02-06",0,NULL,0,"Open to public research",0,NULL,"admin","admin","2017-02-06 20:42:45","2017-07-13 22:14:21","2017-02-06 20:42:45"
53,3,1,2,0,"[\"2016-testvicki\",null,null,null]","Emerson portraits","Emerson portraits",0,"Emerson correspondnece & compositions with printed material and cassette tapes.",NULL,NULL,NULL,"Glenn Horowitz",NULL,NULL,NULL,"2016-09-12",0,NULL,0,NULL,0,NULL,"admin","admin","2017-02-08 15:38:59","2017-07-13 22:14:21","2017-02-08 15:38:59"
54,0,1,2,0,"[\"asf\",null,null,null]",NULL,"asf",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-14",0,NULL,0,NULL,0,NULL,"admin","admin","2017-03-22 15:35:41","2017-07-13 22:14:21","2017-03-22 15:35:41"
55,0,1,2,0,"[\"fffffff\",null,null,null]","fasfsaf","fasfsaf",0,"Tatdasfsda","asfsfsf",NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-14",0,NULL,0,NULL,0,NULL,"eckardm","eckardm","2017-03-22 15:40:09","2017-07-13 22:14:21","2017-03-22 15:40:09"
56,2,1,2,0,"[\"sfsafsadf\",null,null,null]","asfsadfasfasfdsaf","asfsadfasfasfdsaf",1,"Tatdasfsda","safsaf","safsadfsa","sfasfdsa","asfsadf","safsadasdfsadf",248,245,"2017-03-14",1,"safsaf",1,"asfdsafd",1,"asfdsafasfsafd","admin","admin","2017-03-22 15:42:54","2017-07-13 22:14:21","2017-03-22 15:43:10"
57,9,1,2,0,"[\"ghjkhgjk\",null,null,null]","gjkhgkjasfsafd","gjkhgkjasfsafd",0,"Tatdasfsda","ghjkghjk","ghkjhgjk","hgkjasdfsaf","ghkj","hgjk",250,246,"2017-03-14",0,"ghjk",1,"jhgk",1,"kghjhgjk","eckardm","admin","2017-03-22 15:45:01","2017-07-13 22:14:21","2017-03-22 16:12:29"
58,3,1,2,0,"[\"66666666\",null,null,null]",NULL,"66666666",0,"Tatdasfsda zing zang",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-14",0,NULL,0,NULL,0,NULL,"admin","admin","2017-03-22 16:09:33","2017-07-13 22:14:21","2017-03-23 13:35:36"
59,1,1,2,0,"[\"dv908234hk\",null,null,null]",NULL,"dv908234hk",0,"No Title No Date",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-14",0,NULL,0,NULL,0,NULL,"admin","admin","2017-03-22 16:14:57","2017-07-13 22:14:21","2017-03-22 16:15:24"
60,0,1,2,0,"[\"1995-021\",null,null,null]","Uyemaruko Stump papers","Uyemaruko Stump papers",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"1995-01-01",0,NULL,0,NULL,0,NULL,"admin","admin","2017-03-23 14:36:11","2017-07-13 22:14:21","2017-03-23 14:36:11"
62,0,1,2,0,"[\"imported-744aeb4d-1060-4f97-8cee-cff65034538e\",null,null,null]","David Dylan Jones papers","David Dylan Jones papers",0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-26",0,NULL,0,NULL,1,NULL,"admin","admin","2017-03-26 22:17:23","2017-07-13 22:14:21","2017-03-26 22:17:23"
63,8,1,2,0,"[\"2017\",\"0314\",null,null]","Blair Joyner Hill Papers","Blair Joyner Hill Papers",0,"Letters, diaries, reports, and other stuff of sociology faculty member at Large State University",NULL,NULL,NULL,NULL,NULL,250,245,"2017-03-14",0,NULL,0,NULL,0,NULL,"admin","admin","2017-03-30 13:55:01","2017-07-13 22:14:21","2017-03-30 15:18:03"
65,0,1,2,0,"[\"imported-d86d50b4-3108-4bc3-858b-87483195e455\",null,null,null]","Oscar Bluemner painting diary","Oscar Bluemner painting diary",0,"161 p., 157 of them are numbered on the lower right with an additional 2 loose pages inserted in the book.  Graphite and pen were used to write the diary entries while pen and crayon were used to create the sketches. <br> 
Titled on first page as Bluemner’s “First [Painting] Diary.”  Diary entries are in English and German.  Many of the entries are Bluemner’s observations about his works of art or painting in general, such as “…one must take care to keep pigments and mixture pure on the palette, on the brush, on the canvas….” (p. 1) or “do not put on color unless it is done with full feeling” (p. 37). Other entries include a list of “oil colors on hand” with an enclosed sample sheet of the colors, a list of watercolors, and an inventory of objects with prices.  <br>
There are many small (approx 3 x 4 cm) black and white sketches dispersed throughout the diary entries.  Other sketches were completed on separate sheets of paper and attached to the versos of the diary pages.  These include 13 black and white sketches with color notations, ranging in size from 13 x 9 cm. to 21 x 25 cm., and six colored sketches, measuring 11 x 16 cm. to 17 x 21 cm.   The sketches are of countryside and landscape scenes, many include houses, trees, rolling hills and one sketch features a bridge over a river.
<br>
Condition:  both back and front covers are intact, yet ripped and torn at the edges and corners.  Pages are in very good condition; binding is loose.  Smudged ink and water stains appear on a few of the pages.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-31",0,NULL,0,NULL,1,"Current copyright status is undetermined","admin","admin","2017-03-31 20:16:36","2017-07-13 22:14:21","2017-03-31 20:16:36"
66,0,1,2,0,"[\"abc123\",null,null,null]",NULL,"abc123",0,"Tatdasfsda",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-14",0,NULL,0,NULL,0,NULL,"admin","admin","2017-04-07 13:16:58","2017-07-13 22:14:21","2017-04-07 13:16:58"
67,0,1,2,0,"[\"zyx87234\",null,null,null]",NULL,"zyx87234",0,"Tatdasfsda",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-14",0,NULL,0,NULL,0,NULL,"admin","admin","2017-04-07 13:18:33","2017-07-13 22:14:21","2017-04-07 13:18:33"
68,0,1,2,0,"[\"123abc\",null,null,null]",NULL,"123abc",0,"Tatdasfsda",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2017-03-14",0,NULL,0,NULL,0,NULL,"admin","admin","2017-04-07 13:18:49","2017-07-13 22:14:21","2017-04-07 13:18:49"
