id,lock_version,json_schema_version,accession_id,deaccession_id,archival_object_id,resource_id,digital_object_id,digital_object_component_id,portion_id,"number",extent_type_id,"container_summary","physical_details","dimensions","created_by","last_modified_by","create_time","system_mtime","user_mtime"
164,0,1,NULL,NULL,11932,NULL,NULL,NULL,923,"1",2679,NULL,NULL,"8 x 10 inches","admin","admin","2016-03-14 13:01:08","2016-03-14 13:01:08","2016-03-14 13:01:08"
165,0,1,NULL,NULL,11933,NULL,NULL,NULL,923,"1",2679,NULL,"gelatin silver",NULL,"admin","admin","2016-03-14 13:01:08","2016-03-14 13:01:08","2016-03-14 13:01:08"
166,0,1,NULL,NULL,11934,NULL,NULL,NULL,923,"1",2679,NULL,"gelatin silver","8 x 10 inches","admin","admin","2016-03-14 13:01:08","2016-03-14 13:01:08","2016-03-14 13:01:08"
167,0,1,NULL,NULL,11935,NULL,NULL,NULL,923,"1",2679,NULL,"black and white; gelatin silver",NULL,"admin","admin","2016-03-14 13:01:08","2016-03-14 13:01:08","2016-03-14 13:01:08"
168,0,1,NULL,NULL,11936,NULL,NULL,NULL,923,"1",2679,NULL,NULL,"8 x 10 inches (photograph); 11 x 14 inches (support)","admin","admin","2016-03-14 13:01:08","2016-03-14 13:01:08","2016-03-14 13:01:08"
169,0,1,NULL,NULL,NULL,59,NULL,NULL,923,"x",2015,NULL,NULL,NULL,"admin","admin","2016-03-14 20:30:19","2016-03-14 20:30:19","2016-03-14 20:30:19"
217,0,1,10,NULL,NULL,NULL,NULL,NULL,923,"16.5",274,"4 os boxes",NULL,NULL,"admin","admin","2016-03-24 15:17:26","2016-03-24 15:17:26","2016-03-24 15:17:26"
219,0,1,12,NULL,NULL,NULL,NULL,NULL,923,"1",274,"43 cassette tapes, 1 videotape",NULL,NULL,"admin","admin","2016-03-24 15:17:26","2016-03-24 15:17:26","2016-03-24 15:17:26"
220,0,1,13,NULL,NULL,NULL,NULL,NULL,923,"33.5",274,"5 oversize folders",NULL,NULL,"admin","admin","2016-03-24 15:17:27","2016-03-24 15:17:27","2016-03-24 15:17:27"
221,0,1,14,NULL,NULL,NULL,NULL,NULL,923,"3.5",274,"1 os folder",NULL,NULL,"admin","admin","2016-03-24 15:17:27","2016-03-24 15:17:27","2016-03-24 15:17:27"
245,0,1,NULL,NULL,NULL,64,NULL,NULL,923,"fill this in",1372,"(XX boxes)",NULL,NULL,"admin","admin","2016-04-02 14:19:09","2017-04-07 15:20:37","2016-04-02 14:19:09"
252,0,1,NULL,NULL,NULL,16,NULL,NULL,923,"one",274,NULL,NULL,NULL,"admin","admin","2016-04-07 18:35:38","2016-04-07 18:35:38","2016-04-07 18:35:38"
254,0,1,NULL,NULL,NULL,67,NULL,NULL,923,"0.66",2265,", 9 volumes in box",NULL,NULL,"buschedw","buschedw","2016-04-11 14:52:29","2016-04-11 14:52:29","2016-04-11 14:52:29"
257,0,1,NULL,NULL,NULL,70,NULL,NULL,923,"0.1",2265,", 3 folders, 7 volumes",NULL,NULL,"buschedw","buschedw","2016-04-11 15:19:49","2016-04-11 15:19:49","2016-04-11 15:19:49"
258,0,1,NULL,NULL,NULL,71,NULL,NULL,923,"2.0",2265,"Records",NULL,NULL,"buschedw","buschedw","2016-04-11 15:19:50","2016-04-11 15:19:50","2016-04-11 15:19:50"
259,0,1,NULL,NULL,NULL,72,NULL,NULL,923,"101.0",2265,NULL,NULL,NULL,"buschedw","buschedw","2016-04-11 15:20:44","2016-04-11 15:20:44","2016-04-11 15:20:44"
260,0,1,NULL,NULL,NULL,73,NULL,NULL,923,"0.1",2265,NULL,NULL,NULL,"buschedw","buschedw","2016-04-11 17:10:02","2016-04-11 17:10:02","2016-04-11 17:10:02"
266,0,1,NULL,NULL,NULL,77,NULL,NULL,923,"3",1787,NULL,NULL,NULL,"admin","admin","2016-04-12 13:24:28","2016-04-12 13:24:28","2016-04-12 13:24:28"
267,0,1,NULL,NULL,NULL,78,NULL,NULL,923,"3",1787,NULL,NULL,NULL,"admin","admin","2016-04-12 13:30:13","2016-04-12 13:30:13","2016-04-12 13:30:13"
269,0,1,NULL,NULL,NULL,40,NULL,NULL,923,"1",1787,NULL,NULL,NULL,"admin","admin","2016-04-15 07:37:02","2016-04-15 07:37:02","2016-04-15 07:37:02"
270,0,1,NULL,NULL,NULL,80,NULL,NULL,923,"24",3182,"72 boxes",NULL,NULL,"admin","admin","2016-04-22 19:41:44","2016-04-22 19:41:44","2016-04-22 19:41:44"
271,0,1,NULL,NULL,19068,NULL,NULL,NULL,923,"35",3166,NULL,NULL,NULL,"admin","admin","2016-04-22 19:41:45","2016-04-22 19:41:45","2016-04-22 19:41:45"
272,0,1,NULL,NULL,19069,NULL,NULL,NULL,923,"35",1372,"105 boxes",NULL,NULL,"admin","admin","2016-04-22 19:41:45","2016-04-22 19:41:45","2016-04-22 19:41:45"
273,0,1,NULL,NULL,19070,NULL,NULL,NULL,923,"35",3168,NULL,NULL,NULL,"admin","admin","2016-04-22 19:41:45","2016-04-22 19:41:45","2016-04-22 19:41:45"
274,0,1,NULL,NULL,19070,NULL,NULL,NULL,923,"105",1859,NULL,NULL,NULL,"admin","admin","2016-04-22 19:41:45","2016-04-22 19:41:45","2016-04-22 19:41:45"
275,0,1,NULL,NULL,19071,NULL,NULL,NULL,923,"24",1372,"72 boxes",NULL,NULL,"admin","admin","2016-04-22 19:41:45","2016-04-22 19:41:45","2016-04-22 19:41:45"
276,0,1,NULL,NULL,19073,NULL,NULL,NULL,923,"24",2586,NULL,NULL,NULL,"admin","admin","2016-04-22 19:41:45","2016-04-22 19:41:45","2016-04-22 19:41:45"
277,0,1,NULL,NULL,19074,NULL,NULL,NULL,923,"11",2149,"24",NULL,NULL,"admin","admin","2016-04-22 19:41:45","2016-04-22 19:41:45","2016-04-22 19:41:45"
278,0,1,NULL,NULL,19075,NULL,NULL,NULL,923,"11",2149,NULL,NULL,NULL,"admin","admin","2016-04-22 19:41:45","2016-04-22 19:41:45","2016-04-22 19:41:45"
279,0,1,NULL,NULL,19077,NULL,NULL,NULL,923,"16",3175,"18 pages).",NULL,NULL,"admin","admin","2016-04-22 19:41:45","2016-04-22 19:41:45","2016-04-22 19:41:45"
280,0,1,NULL,NULL,19078,NULL,NULL,NULL,923,"16",3176,"18 pages).",NULL,NULL,"admin","admin","2016-04-22 19:41:45","2016-04-22 19:41:45","2016-04-22 19:41:45"
281,0,1,NULL,NULL,19079,NULL,NULL,NULL,923,"16",3175,NULL,NULL,NULL,"admin","admin","2016-04-22 19:41:45","2016-04-22 19:41:45","2016-04-22 19:41:45"
294,0,1,NULL,NULL,NULL,84,NULL,NULL,923,"number",274,NULL,NULL,NULL,"admin","admin","2016-04-26 19:30:35","2016-04-26 19:30:35","2016-04-26 19:30:35"
297,0,1,5,NULL,NULL,NULL,NULL,NULL,923,"3",1372,"5 folders, 1 os box",NULL,NULL,"admin","admin","2016-04-26 20:04:09","2017-04-07 15:20:37","2016-04-26 20:04:09"
298,0,1,5,NULL,NULL,NULL,NULL,NULL,923,"2",1372,"(2 containers)",NULL,NULL,"admin","admin","2016-04-26 20:04:09","2017-04-07 15:20:37","2016-04-26 20:04:09"
301,0,1,NULL,NULL,NULL,87,NULL,NULL,923,"24",3182,"72 boxes",NULL,NULL,"admin","admin","2016-04-26 22:46:43","2016-04-26 22:46:43","2016-04-26 22:46:43"
304,0,1,6,NULL,NULL,NULL,NULL,NULL,923,"11",274,"11 os boxes, 22 audiocassettes, 17 videocassettes",NULL,NULL,"admin","admin","2016-04-29 20:30:11","2016-04-29 20:30:11","2016-04-29 20:30:11"
323,0,1,NULL,NULL,NULL,96,NULL,NULL,923,"3",3785,NULL,NULL,NULL,"test-user","test-user","2016-05-11 23:28:57","2016-05-11 23:28:57","2016-05-11 23:28:57"
335,0,1,NULL,NULL,NULL,99,NULL,NULL,923,"683.0",3887,"39 digital objects collectively containing 1,797 digital files of various types.",NULL,NULL,"admin","admin","2016-05-13 18:33:22","2016-05-13 18:33:22","2016-05-13 18:33:22"
336,0,1,NULL,NULL,19811,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:33:23","2016-05-13 18:33:23","2016-05-13 18:33:23"
337,0,1,NULL,NULL,19812,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:33:23","2016-05-13 18:33:23","2016-05-13 18:33:23"
338,0,1,NULL,NULL,19814,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:33:24","2016-05-13 18:33:24","2016-05-13 18:33:24"
339,0,1,NULL,NULL,19815,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:33:24","2016-05-13 18:33:24","2016-05-13 18:33:24"
340,0,1,NULL,NULL,19816,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:33:24","2016-05-13 18:33:24","2016-05-13 18:33:24"
341,0,1,NULL,NULL,19817,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:33:24","2016-05-13 18:33:24","2016-05-13 18:33:24"
342,0,1,NULL,NULL,19819,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:33:24","2016-05-13 18:33:24","2016-05-13 18:33:24"
343,0,1,NULL,NULL,19820,NULL,NULL,NULL,923,"1.0",3880,NULL,NULL,NULL,"admin","admin","2016-05-13 18:33:24","2016-05-13 18:33:24","2016-05-13 18:33:24"
